code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00000278Z1;;0502290145;369292;6958977;49,64361;-1,57889;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2021-06-30;0;0;0;0;1
20801;Orange;00000279R1;;0762290205;562172;6925327;49,4125;1,10112;Normandie;Seine-Maritime;76;Sotteville-lès-Rouen;76681;1;1;1;1;0;0;0;0;1;2023-02-09;0;0;0;0;1
20801;Orange;00000279Z1;;0502290086;365097;6957395;49,62722;-1,63555;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2021-06-30;0;0;0;0;1
20801;Orange;00000280R1;;0762290163;560254;6927754;49,43389;1,07389;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;1;0;0;0;0;1;2021-04-16;0;0;0;0;1
20801;Orange;00000281R1;;0762290292;560440;6982051;49,92167;1,05805;Normandie;Seine-Maritime;76;Dieppe;76217;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000281Z1;;0502290080;364366;6958987;49,64111;-1,64694;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2021-06-30;0;0;0;0;1
20801;Orange;00000282R1;;0762290162;562054;6980248;49,90583;1,08111;Normandie;Seine-Maritime;76;Dieppe;76217;1;1;1;1;0;0;0;0;1;2022-01-21;0;0;0;0;1
20801;Orange;00000282Z1;;0612290044;484972;6820164;48,44611;0,09166;Normandie;Orne;61;Alençon;61001;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000283R1;;0272290130;585552;6872648;48,94361;1,43749;Normandie;Eure;27;Bueil;27119;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000284Z1;;0142290134;450777;6903635;49,18389;-0,41917;Normandie;Calvados;14;Bretteville-sur-Odon;14101;1;1;1;1;0;0;0;0;1;2021-06-07;0;0;0;0;1
20801;Orange;00000285R1;;0762290186;518064;6964257;49,75111;0,47666;Normandie;Seine-Maritime;76;Colleville;76183;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000285Z1;;0142290207;461388;6901423;49,16806;-0,2725;Normandie;Calvados;14;Démouville;14221;1;1;1;1;0;0;0;0;1;2022-05-31;0;0;0;0;1
